"Id","ParticipantId","DateExam","MarkPercent","SubjectId","Partition"
"000176B3-FD22-464F-80E4-1903332D8EFF","74A04FC2-A13B-468F-B4FF-08D4A3DDCEEA","2020-07-16","75","86","1"
"0007FBF5-CECE-4769-AAA4-F8D3B54460DE","4C5F3B22-6439-4255-83A3-9C2573607F96","2020-07-20","77","9","1"
"0008DF1B-A868-4A0E-AFEC-3F5F3EDB3D5D","539BF0E1-24D7-4323-8B36-EECAC7B5C0C5","2020-07-03","25","27","1"
"000CBD0B-5513-4F9D-9E31-1BA125B9472B","1BAE7BE4-5C78-4E0D-B29D-7E06454C830B","2020-07-13","83","77","1"
"000F3DEE-44BF-40C9-8D0F-DB86C15A16E3","5B3D82FB-D840-44DE-ADC0-A9CBEB2C06B2","2020-07-20","91","4","1"
"00125792-4A3D-4410-A339-538992DE8755","4977824F-24EF-48D4-B85A-ED906DD28326","2020-07-13","39","77","1"
"00142125-462F-4589-B44D-51BD11C878B3","FDC0946B-5699-4E17-9835-B96AE69E9C30","2020-07-16","23","86","1"
"00182BAB-1A75-46A5-BEFF-C4F188B13C62","D5FF1B6A-44BE-435C-8F89-54756F3A226A","2020-07-03","85","27","1"
"001BAA49-8A06-43B2-BE62-606FB20DF114","9E91CD6A-BF85-4310-B750-0D8C155B1634","2020-07-16","60","61","1"
"001D0700-F0A8-4345-985A-F50A80E2A985","32EE1D8F-4CE8-46D7-81BF-FFB19643BB12","2020-07-16","90","61","1"
"001D9A35-049E-4819-8026-94096C58EF3D","A7249E25-90D9-4FA7-BD56-54EE9E2F4555","2020-07-16","93","86","1"
"001F9C40-66F5-4FAF-8082-48D4E3A17A4D","CBE41B02-87A6-41C0-B609-3AEAC90682C1","2020-07-03","70","44","1"
"002237CC-D112-4F34-B31C-61B8E1673768","495B6D99-F830-4A5E-82F2-8BD8837BBF5B","2020-07-10","37","49","1"
"002506F6-FABC-4C47-B994-446A9204DBDD","C4A21455-0754-483C-BA98-1D9DB4B82F41","2020-07-23","0","5","1"
"002756C0-9AE6-456C-B52C-CACC303CE824","FF81A957-E10F-4742-94E9-D6038F216B90","2020-07-10","46","49","1"
"0027B60E-5D69-4B0F-9515-B333D9DB71BB","41B15C60-3F6F-4CD8-84A1-565B4DC84348","2020-07-06","74","75","1"
"002B70BA-6DDA-4F2C-89A4-02D747F8DC03","8FFDD839-5817-4486-A066-14D47EE44D41","2020-07-03","71","27","1"
"002DDA4E-4D6C-4F59-BAE6-5C1C63BBE1F6","3A7FE42B-F620-4E95-9DF5-42049C657FEE","2020-07-07","94","75","1"
"002E3174-DA45-46B7-8817-2919CA3754DB","1D77D5F1-F2FC-4E80-A4C2-748B8BD42DF4","2020-07-06","100","75","1"
"002F5F6C-8B5D-4E6B-BFE6-247DA64D552E","C2246437-0344-4AF4-BCA8-0BED902910CA","2020-07-16","60","86","1"
"00300954-ECCC-47CB-927E-6C7C454531DD","524C6076-0429-47BE-9529-672951666A2B","2020-07-16","43","61","1"
"0034A22D-5134-43B0-BFD1-24E2D8031F8E","398F063E-05E5-4627-85E8-112823D30935","2020-07-13","86","77","1"
"00386723-F1E7-4AF9-A470-199FCB6810A2","3D4E2026-2B1D-4618-B011-689DF814999E","2020-07-10","37","49","1"
"003A5BD9-000A-4018-9841-AB0786FBC4B1","F15111D3-808D-4D0C-BBC3-819158589AF5","2020-07-20","72","9","1"
"0040742E-34A8-4907-A836-6773A0684593","52A5CB21-8F30-4CC2-81EF-E769E6FFD973","2020-07-07","72","75","1"
"004164A7-A7D7-4702-913E-5112027E310A","D14B714F-7B32-4A0C-8744-23CEEAAACE58","2020-07-07","44","75","1"
"0041B485-DF0E-41F9-BC70-F6784BEA6B7F","A8C248F5-4022-4F76-AB46-FCA47ABDF5D9","2020-07-13","75","77","1"
"00489D1A-8E64-48D4-9ED6-5FA4646CDF22","889F4181-EB64-48A8-9D5F-28293AA9607B","2020-07-16","89","61","1"
"004D8478-95B3-4366-96CC-984F32921F0C","2F8133F6-4FE8-4874-BA75-7C5ACCFD8C6B","2020-07-10","34","49","1"
"004DC93A-2D82-428E-BE89-DEE86DB3BB5A","AFF908BE-1D0A-450A-BAC4-0EF5EF2DB095","2020-07-16","11","86","1"
"00539AFB-DBF2-405A-9B0A-68E651D36375","888E9764-9525-4A7A-A75C-3360DEB0CB71","2020-07-10","12","49","1"
"0054A154-A9AE-4D94-9DD2-83E0204B40CA","8BDA74AD-0E30-4864-8FF1-3220581ADCB4","2020-07-13","51","31","1"
"0054A513-0200-422C-9403-E985C6112BBF","8EAC8454-D85D-4723-8DAE-F88CDFE6EC58","2020-07-20","36","9","1"
"0054B991-F0DE-4CEF-91E8-2ED79040EB84","020EF32E-8B01-4F7F-AE84-A3D4FCFDFE97","2020-07-10","71","49","1"
"00579858-7102-46DE-B23D-BBFE4A2BFDBC","8A047516-68CF-43EF-960A-3F72049072A9","2020-07-07","82","75","1"
"00582FFB-D646-45A4-8209-672D0412FB9E","FC43A098-5E8B-45FF-B1FF-608A40E9576F","2020-07-20","74","9","1"
"00585C4C-9A7E-4DC2-8ED7-F85C13EEC792","D3386F80-42B4-498B-B3C3-391662027519","2020-07-20","82","4","1"
"005CCBE3-EB08-4672-A9A5-F763B57656F9","E23D9C53-EEB8-4CBB-BB7F-03277FE025EC","2020-07-16","21","61","1"
"005DA125-47CF-4FF9-867B-A0480BC08BA2","DCB2507B-A8AE-4D8B-ABF4-CD77988ED4E5","2020-07-07","89","75","1"
"005EADCA-E0C3-4A31-85DA-3A8B46A195E3","D32C38A4-21E0-4702-B4A7-D2705C85AE60","2020-07-20","62","4","1"
"005EE78E-DE61-40B3-81A2-87F1471030A1","BCE7B4F4-6C50-4AF3-A3BA-24B7402D4E60","2020-07-13","35","77","1"
"006207E1-8AC4-493C-B9F0-7A2EA58878AA","E3BD6485-4AFF-4FD0-884A-217F49527C01","2020-07-16","96","86","1"
"00639F54-2E08-4C6C-867D-348A7125E01B","0748A06F-AA49-41A6-BE7A-37C4BE3A6AE6","2020-07-16","67","61","1"
"00690142-1378-49AC-BE37-6DC9E9B05F61","B1E024FD-1EEE-4BBC-B159-637266C133DB","2020-07-20","82","4","1"
"00690471-E4E3-4DC8-AFA3-B1FED8AF2D86","322ED281-7F74-429C-84C2-ABA12B61C76E","2020-07-07","91","75","1"
"00692BE9-7C0C-4C57-9035-1C200467819B","A44200AA-8EF4-4DF9-A2FD-9D829EA12939","2020-07-06","84","75","1"
"00693A0C-1425-4B06-A968-F28EE59B5954","030FB120-FBEB-4C25-9728-9E5EC8DEFEA7","2020-07-06","74","75","1"
"00698A25-0F17-41E3-A291-180FF3526066","39821683-883F-465D-9436-D9F9A14533CE","2020-07-16","70","61","1"
"00699982-2FD6-4449-9FCD-8192D8D9B7CE","59E1583B-8E76-4B1C-AFD5-5B18B2612EA8","2020-07-10","12","49","1"
"0069D06D-B9A2-4220-9144-5CCF34EA3C4C","CEA9FD93-659F-4E11-9BE8-93ABAFC2B3F8","2020-07-03","82","27","1"
"006AA97C-4F00-4602-A651-713517389EFE","F042AA90-BE7D-4D14-A039-98D73D862525","2020-07-16","68","61","1"
"006B9C9E-65D8-4D80-973F-62919F4C0EEE","175F13FD-50B1-446A-B02B-EF70E07B219E","2020-07-20","58","9","1"
"006CA618-171E-4CE8-9B9E-A3A361071D03","82F42148-4CF5-42E9-8213-EB3D5DAAB2A6","2020-07-16","45","61","1"
"006CEFEE-079B-4358-9AFD-DBCE38E4F07A","200B8549-29AC-43F5-93BF-DCD5DAB19FDF","2020-07-06","94","75","1"
"006CF70B-345F-4819-987C-CA1B9445ECA1","DEE4F9B4-7A29-4EB9-B440-EF5B4D6FE0A2","2020-07-07","94","75","1"
"006E29FC-5E0F-49F9-9921-B08FB8DBA911","B7489E48-2CA3-4FCD-B172-A1567F84827C","2020-07-10","28","49","1"
"006E9D58-D19E-4E87-8462-18B6F581875C","5FECB4B1-2F92-4B8F-BDDC-9D47F2CC8040","2020-07-06","87","75","1"
"0070645E-5CB2-427F-9C7D-6FA834CEDA85","61032242-F1CD-456C-90A4-0478E3A989F0","2020-07-13","89","31","1"
"007082F5-EFAC-412A-A64D-349BDF093CDF","2282640B-3918-4DC6-AC4D-8D8FE14C01D8","2020-07-06","53","75","1"
"0073E509-DC98-4402-BA69-FBF0AD6EF94F","6F1601B5-4456-46F2-8D77-6DC534D709EC","2020-07-20","94","82","1"
"00741F63-2072-4C29-BF83-354CC67735CE","B4C9A335-6B6B-4BF7-AAB2-78DF86E35042","2020-07-13","83","77","1"
"00749259-A5AA-413C-A3AB-6F3BB268ABBD","B43BA7BC-92DA-4991-A70F-B66F9CDD9F9F","2020-07-03","88","27","1"
"00785453-19FF-415A-9573-8F657E07651E","C8CE5FCB-8DD5-466D-8E07-B0CC88E49D60","2020-07-16","23","86","1"
"007B76AF-21A6-473B-9A38-4DB989626F7F","8E9537C4-864F-49D0-A34D-F5D12453B5B3","2020-07-10","62","49","1"
"007C0E90-9AB2-46BA-9FAD-05C2787047B0","69B2A66D-93E4-4AEF-8DCA-180FD231F723","2020-07-10","56","49","1"
"007CA782-0AF2-4ED6-8011-F52B7BD3DE74","4FE604F2-0045-438E-BDF1-67BE07C2CDAB","2020-07-13","64","77","1"
"007F1535-73F8-4AA5-B5B9-A13D6102B21D","6AF5E2C1-4D92-4A22-9C16-314EFD134945","2020-07-13","33","77","1"
"00832541-DACD-4082-8477-1A143A4BDAC4","08EB8D3D-E0E6-410B-BB27-7F1AFC5BE1D5","2020-07-10","40","49","1"
"0083C000-DA6B-4AD6-A6C8-2B4882131E8F","1B8200BE-0AD8-4AED-BDBA-65EA646794AF","2020-07-06","70","75","1"
"0085EFA8-8E85-4937-9F8B-5C447D00961F","A004663A-AF6E-4781-A234-80E779A19086","2020-07-20","70","4","1"
"00860BA8-A0CB-453B-91DC-6E14ADF24E25","97BD3E97-6E5B-4634-8AE6-C7A67624C061","2020-07-13","89","31","1"
"008812E8-4C33-4A10-B6D3-201753204281","44A07A5A-8453-4211-9B1F-24816DB491CA","2020-07-20","85","4","1"
"00898D20-723C-441C-8674-789EFBE49FD7","55E68B7D-A64A-4F86-8777-3B911B433F18","2020-07-13","56","77","1"
"008C1089-A938-488B-86EB-3E7122DD0FB3","89D812F6-CA89-48A5-BAAC-49C7F9D41CDF","2020-07-06","84","75","1"
"008DEAD1-BF28-4DEF-A98D-168060819161","6ABEB29D-0E5B-416A-8F1D-409C526C88B4","2020-07-10","53","49","1"
"008EF9D1-0A44-4F91-9688-C2EE9718BAD4","E82FBECF-F96E-47CF-A0C2-7ED1F611EEE7","2020-07-16","53","61","1"
"00946302-DCF6-435E-A2D7-66DB21D0091C","B114C1D3-1B3E-4A44-BEA9-7B1D797D12FF","2020-07-20","71","4","1"
"009630FF-6411-45F4-A312-A18081308CCB","B55F2795-E8A0-416A-AC44-9D3CC41CE71B","2020-07-07","91","75","1"
"009757F7-438D-4801-8DAB-111759F3D6D7","4BAAECA2-057D-4D26-A01A-2647A84116B3","2020-07-13","35","77","1"
"00986B1B-2F7F-430F-BD2E-325481C3CEBC","3FED590D-5C10-42A6-9067-596ECA134441","2020-07-06","62","75","1"
"009A8D3D-7B52-4435-BF2B-50C168E465E4","E6F35DF0-97AE-41A3-AD23-8BEF44BC7B07","2020-07-20","81","4","1"
"009C2DB9-4F91-469E-A5E5-342016D2E575","294AF17B-EB63-411F-AFF5-515507C8F429","2020-07-13","56","77","1"
"009CB879-E63B-443E-8B03-B0C7B1857787","75CAADF5-CF4A-4DDF-B934-7BFBB9A8B161","2020-07-20","43","9","1"
"009D10AB-6D2E-4868-9B2B-F290EBE120A5","C4AB2391-2280-443C-ABCF-D3F610D9483B","2020-07-07","94","75","1"
"009D4EC4-152F-4A93-8F80-C1EB3D973CB3","EEE0EB46-31AC-4C4A-8CC8-1EFF2661F05D","2020-07-13","60","77","1"
"009F33CB-230B-4421-8815-F969A6BA8A0D","EDDFB0A6-50B4-4A8F-BBF2-84D60B25A179","2020-07-20","39","9","1"
"009FE03A-EE56-4714-A082-38508D0B33AF","DA037446-0FBC-45A1-833C-B69ABF4C9768","2020-07-16","0","86","1"
"00A01F44-A6DA-4D46-8C66-623CFADFC404","90942E7B-AD3E-4C41-B981-B6C0A8C0893A","2020-07-10","59","49","1"
"00A17AB1-F470-46BF-B60B-CC2B91F4538F","EC29BAA0-F322-4F09-B9D9-D4CBA952D278","2020-07-03","8","27","1"
