"Parallel","OOCode","Id","Partition"
"11","01579317-C00F-44A6-B7FB-9ABF1AB30EA4","00026864-3382-494F-96D7-D0A6BB717A42","1"
"11","D4FA7F86-E5D1-4ECB-8EDE-4311208541B5","0004B810-D062-4E32-ACB5-0BCF3CBEF4F8","1"
"11","99C7AC53-838D-45AB-85ED-42BDD2F865CB","00051BBD-7F75-4D38-9BE1-E99E471DE10D","1"
"11","6B478DAF-4E07-4545-84B5-14770AC9C1C1","00285945-82E0-4A66-A08E-61ABC661E876","1"
"11","5E1C8BC2-6F0F-4A72-A7BE-58182AF5327E","00294E7E-CA56-4437-97CD-EBB7A2C71CC9","1"
"11","4FE3357D-35D4-413C-B484-6493676A565B","0030E228-8A5B-466C-BD89-6E0371B0737A","1"
"11","8E514FD5-A44B-451E-90B2-112A99F3866D","00329F1B-2C6A-4175-9A98-4E7D0FD716C0","1"
"11","A35EF8D1-0E75-4421-9B6E-26DF8FFDA8B4","0034E807-BDFB-445D-BE0B-EBCCD1065CAB","1"
"11","A35EF8D1-0E75-4421-9B6E-26DF8FFDA8B4","0036053E-423E-49FB-9E7B-CE4989102559","1"
"11","95EA4900-DE70-4F9E-9008-21BD8A35B1DB","00373979-2202-4893-8BBD-A3DFD49B124C","1"
"11","F8C00135-F5E4-4BC1-BF7E-EF640B3DA46A","003CF9B0-9E7C-4414-98B9-32B8CF410766","1"
"11","F3DCFA93-A163-40C3-9A7A-D96DC4D89D69","00456FE3-6A7D-4F01-8599-70AF37532A92","1"
"11","6377B85C-6BFB-453D-915B-A26602B49155","004687D2-FAAE-4361-B902-1509A561A9C9","1"
"11","C81AFC37-797D-495F-8158-95E3874CD927","0048634B-A931-4626-8BB6-334BE5A4B4D4","1"
"11","F3DCFA93-A163-40C3-9A7A-D96DC4D89D69","005910FA-2F8F-4A38-BD3E-99BA576BDCD5","1"
"11","819EA297-1230-493A-AA0C-DB7EE9163B93","005B8653-A0FB-41CD-A53D-8AE9361B8D9B","1"
"11","C81AFC37-797D-495F-8158-95E3874CD927","005DA04E-62EF-4B50-9475-F7FAB1AE8219","1"
"11","0E99975D-4BB2-46C4-9DE0-C077E3B2A80A","0062408A-8CC6-4BB0-B35B-FD464299822B","1"
"11","7E106A91-EC01-4920-A528-2F09F4181BA5","0063DFCF-C7E8-486A-88A8-F4AA9ABCB607","1"
